City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Jaciara,BR,2021-04-04 15:31:24,-15.9653,-54.9683,91.38,44,96,5.26
165,Qrendi,MT,2021-04-04 15:31:24,35.8347,14.4583,61.0,88,40,9.22
166,Abu Dhabi,AE,2021-04-04 15:31:13,24.4667,54.3667,77.0,57,0,10.36
167,Oranjemund,NA,2021-04-04 15:31:24,-28.55,16.4333,65.82,88,15,17.58
168,Codrington,AU,2021-04-04 15:31:25,-38.2667,141.9667,57.87,67,84,7.31
169,Chisec,GT,2021-04-04 15:31:25,15.8167,-90.2833,57.2,94,90,4.61
170,Vangaindrano,MG,2021-04-04 15:31:25,-23.35,47.6,75.79,90,0,7.49
171,Shenjiamen,CN,2021-04-04 15:31:25,29.9576,122.298,50.45,61,0,21.21
172,Manicore,BR,2021-04-04 15:31:26,-5.8092,-61.3003,82.4,83,75,4.61
173,Umea,SE,2021-04-04 15:31:26,63.8284,20.2597,39.2,75,0,17.27
174,Amahai,ID,2021-04-04 15:31:26,-3.3333,128.9167,79.21,83,99,3.24
175,Sitka,US,2021-04-04 15:30:17,57.0531,-135.33,35.6,93,90,8.05
176,Bahia Blanca,AR,2021-04-04 15:28:20,-38.7196,-62.2724,79.81,41,0,14.2
177,Kopychyntsi,UA,2021-04-04 15:31:27,49.1044,25.9103,46.0,56,94,7.52
178,Georgetown,MY,2021-04-04 15:31:27,5.4112,100.3354,86.0,74,20,6.91
179,Nampula,MZ,2021-04-04 15:31:27,-15.1165,39.2666,75.2,94,90,5.75
180,Marystown,CA,2021-04-04 15:31:19,47.1666,-55.1483,42.42,95,100,17.54
181,Aklavik,CA,2021-04-04 15:31:23,68.2191,-135.0107,-16.6,76,40,4.61
182,Yagodnoye,RU,2021-04-04 15:31:28,62.55,149.6667,-4.83,95,100,3.49
183,Bosaso,SO,2021-04-04 15:31:28,11.2842,49.1816,82.4,78,20,11.5
184,Rudnyy,KZ,2021-04-04 15:31:29,52.9594,63.1206,32.0,93,0,8.95
185,Bairiki,KI,2021-04-04 15:31:29,1.3292,172.9752,80.6,83,40,9.22
186,Ilhabela,BR,2021-04-04 15:31:29,-23.7781,-45.3581,76.69,76,98,5.37
187,Ayan,RU,2021-04-04 15:31:30,56.45,138.1667,4.5,79,1,9.35
188,Shiyan,CN,2021-04-04 15:31:30,32.6475,110.7781,50.88,56,100,3.22
189,Huilong,CN,2021-04-04 15:31:30,31.8111,121.655,52.0,63,0,13.65
190,San Policarpo,PH,2021-04-04 15:31:30,12.1791,125.5072,81.82,69,83,11.5
191,Griffith,US,2021-04-04 15:26:54,41.5284,-87.4237,64.0,48,1,4.14
192,Krasnovishersk,RU,2021-04-04 15:31:31,60.4078,57.082,32.2,98,100,3.62
193,Ufimskiy,RU,2021-04-04 15:31:31,56.7084,58.0517,33.19,99,100,3.33
194,Belmonte,BR,2021-04-04 15:31:31,-15.8631,-38.8828,86.0,79,40,8.05
195,Chegutu,ZW,2021-04-04 15:31:32,-18.1302,30.1407,70.86,45,0,6.26
196,Namatanai,PG,2021-04-04 15:31:32,-3.6667,152.4333,77.86,85,97,6.8
197,Teano,IT,2021-04-04 15:31:32,41.2513,14.0665,62.6,16,0,8.03
198,Kyzyl-Suu,KG,2021-04-04 15:31:33,42.3414,78.0056,37.87,57,100,2.75
199,Salinas,US,2021-04-04 15:31:33,36.6777,-121.6555,54.0,71,40,1.92
200,Ko Samui,TH,2021-04-04 15:31:33,9.5357,99.9357,83.48,70,80,4.05
201,Nzega,RW,2021-04-04 15:31:33,-2.479,29.5564,60.39,92,94,1.32
202,Rio Tercero,AR,2021-04-04 15:30:03,-32.173,-64.1141,75.99,61,77,4.0
203,Srivardhan,IN,2021-04-04 15:31:34,18.0333,73.0167,79.68,75,20,7.29
204,Arrecife,ES,2021-04-04 15:30:07,28.963,-13.5477,73.4,40,20,14.97
205,Hasaki,JP,2021-04-04 15:31:34,35.7333,140.8333,63.0,100,75,5.75
206,Carballo,ES,2021-04-04 15:31:34,43.213,-8.691,68.0,45,0,8.05
207,Cockburn Town,TC,2021-04-04 15:31:04,21.4612,-71.1419,74.88,74,97,26.04
208,Esperance,AU,2021-04-04 15:31:35,-33.8667,121.9,62.6,88,7,14.97
209,Vardo,NO,2021-04-04 15:31:35,70.3705,31.1107,37.4,75,75,12.66
210,Kibala,TD,2021-04-04 15:31:35,9.1104,18.3463,104.0,16,0,9.22
211,Victoria,HK,2021-04-04 15:27:38,22.2855,114.1577,75.0,87,94,1.99
212,Rundu,NA,2021-04-04 15:27:02,-17.9333,19.7667,85.24,30,0,8.37
213,Komsomolskiy,UZ,2021-04-04 15:29:10,40.4272,71.7189,48.2,87,75,2.3
214,Dickinson,US,2021-04-04 15:31:36,29.4608,-95.0513,68.0,77,90,8.05
215,Laem Sing,TH,2021-04-04 15:26:43,12.4816,102.0738,82.0,99,74,6.96
216,Puerto Del Rosario,ES,2021-04-04 15:31:36,28.5004,-13.8627,69.8,56,20,14.97
217,Kisangani,CD,2021-04-04 15:28:12,0.5167,25.2,91.4,52,20,6.91
218,Namibe,AO,2021-04-04 15:31:37,-15.1961,12.1522,79.7,83,100,13.24
219,Batagay-Alyta,RU,2021-04-04 15:31:37,67.8006,130.4114,-16.49,98,100,3.78
220,Kaeo,NZ,2021-04-04 15:31:32,-35.1,173.7833,52.0,93,17,3.31
221,Dingle,PH,2021-04-04 15:27:52,10.9995,122.6711,76.64,82,34,6.73
222,Iquique,CL,2021-04-04 15:29:23,-20.2208,-70.1431,71.6,60,0,13.8
223,Igarka,RU,2021-04-04 15:31:38,67.4667,86.5833,15.66,88,100,16.02
224,Kamenka,RU,2021-04-04 15:31:38,51.3223,42.7678,45.0,64,100,5.77
225,Laguna,US,2021-04-04 15:31:39,38.421,-121.4238,51.01,87,1,3.53
226,Vila Franca Do Campo,PT,2021-04-04 15:31:39,37.7167,-25.4333,59.0,88,75,17.27
227,Ostrovnoy,RU,2021-04-04 15:31:39,68.0531,39.5131,32.25,86,100,21.09
228,Sinnamary,GF,2021-04-04 15:31:40,5.3833,-52.95,80.1,84,100,10.25
229,Port Hardy,CA,2021-04-04 15:31:40,50.6996,-127.4199,41.0,93,40,8.05
